,precision,recall,f1-score,support
anger,0.9166666666666666,0.7333333333333333,0.8148148148148148,30.0
disgust,0.84375,0.9,0.8709677419354839,30.0
fear,0.8484848484848485,0.9333333333333333,0.8888888888888888,30.0
joy,0.78125,0.8333333333333334,0.8064516129032258,30.0
neutral,0.9,0.6,0.72,30.0
sadness,0.8125,0.8666666666666667,0.8387096774193549,30.0
surprise,0.7297297297297297,0.9,0.8059701492537313,30.0
accuracy,0.8238095238095238,0.8238095238095238,0.8238095238095238,0.8238095238095238
macro avg,0.8331973206973207,0.8238095238095239,0.8208289836022142,210.0
weighted avg,0.8331973206973207,0.8238095238095238,0.8208289836022141,210.0
